N,Data,Ora,Sito,Profondità max,Durata,Temperatura acqua,Pressione iniziale,Pressione finale,Bombola,O2,Compagno,Note
1,16/12/2024,08:00,"Punta Chiappa",22.4,45,15.0,220,60,21.3,32,Marco,"Riga da foglio di calcolo"
2,27/12/2024,09:15,"Secca Gonzatti",25.6,48,16.0,220,60,24.7,32,Marco,"Riga da foglio di calcolo"
3,07/01/2025,10:30,"Isuela",28.5,51,17.0,220,61,28.4,32,Marco,"Riga da foglio di calcolo"
4,18/01/2025,08:45,"Relitto Haven",31.5,54,18.0,220,60,32.2,32,Marco,"Riga da foglio di calcolo"
5,29/01/2025,09:00,"Moregallo",34.4,45,9.0,220,60,28.2,32,Marco,"Riga da foglio di calcolo"
6,09/02/2025,10:15,"Punta del Faro",22.4,48,16.0,220,60,21.9,32,Marco,"Riga da foglio di calcolo"
7,20/02/2025,08:30,"Colombara",40.3,34,17.0,220,60,23.1,28,Marco,"Riga da foglio di calcolo"
8,03/03/2025,09:45,"Punta Chiappa",28.3,54,18.0,220,60,29,32,Marco,"Riga da foglio di calcolo"
9,14/03/2025,10:00,"Secca Gonzatti",31.2,45,15.0,220,60,25.6,32,Marco,"Riga da foglio di calcolo"
10,25/03/2025,08:15,"Isuela",34.2,48,16.0,220,60,29.1,32,Marco,"Riga da foglio di calcolo"
11,05/04/2025,08:30,"Relitto Haven",22.1,51,17.0,220,61,22.5,32,Marco,"Riga da foglio di calcolo"
12,16/04/2025,09:45,"Moregallo",25.1,54,18.0,220,60,25.9,32,Marco,"Riga da foglio di calcolo"
13,27/04/2025,07:00,"Punta del Faro",28.0,45,15.0,220,60,23,32,Marco,"Riga da foglio di calcolo"
14,08/05/2025,08:15,"Moregallo",42.0,34,9.0,220,61,22.7,28,Marco,"Riga da foglio di calcolo"
15,19/05/2025,09:30,"Punta Chiappa",33.9,51,17.0,220,60,29.8,32,Marco,"Riga da foglio di calcolo"
16,30/05/2025,07:45,"Secca Gonzatti",21.9,54,18.0,220,60,22.9,32,Marco,"Riga da foglio di calcolo"
17,10/06/2025,08:00,"Isuela",24.9,45,15.0,220,60,20.5,32,Marco,"Riga da foglio di calcolo"
18,21/06/2025,09:15,"Relitto Haven",27.8,48,16.0,220,60,22.5,32,Marco,"Riga da foglio di calcolo"
